LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
23270,Victoria,20657,19421,40078,14.801874702230364,34105,5973,17.513561061427943,19480,48.60521982134837,16526,2954,17.87486385090161
23350,Victoria,1012,1102,2114,11.999091837893063,2192,-78,-3.5583941605839415,1041,49.24314096499527,1096,-55,-5.018248175182482
23430,Victoria,9344,9574,18918,11.391513268421338,19272,-354,-1.8368617683686177,9256,48.92694788032561,9299,-43,-0.4624153134745672
23670,Victoria,9159,9590,18749,11.505559783008911,19192,-443,-2.308253438932889,9049,48.26390740839511,9189,-140,-1.5235607791925128
23810,Victoria,4551,4886,9437,12.02563906516808,9328,109,1.16852487135506,4607,48.81848044929533,4529,78,1.7222344888496357
23940,Victoria,373,436,809,10.477917368216552,846,-37,-4.373522458628842,389,48.084054388133495,434,-45,-10.368663594470046
24130,Victoria,3654,3880,7534,14.059904824111225,7212,322,4.464780920687743,3649,48.43376692328113,3513,136,3.871335041275263
24210,Victoria,7383,8151,15534,11.825247596355139,14689,845,5.752603989379808,7578,48.783314020857475,7096,482,6.792559188275085
24250,Victoria,557,794,1351,12.544103992571959,1272,79,6.210691823899371,673,49.81495188749075,631,42,6.656101426307448
24330,Victoria,4362,4115,8477,9.0447382179401,8623,-146,-1.6931462368085353,4041,47.67016633242893,4129,-88,-2.131266650520707
24410,Victoria,7275,7218,14493,12.17162725073905,14459,34,0.23514765889757244,7044,48.602773752846204,7032,12,0.17064846416382254
24600,Victoria,3114,2830,5944,3.16903473462533,6020,-76,-1.2624584717607974,2886,48.553162853297444,2896,-10,-0.3453038674033149
24650,Victoria,18376,17051,35427,16.18454594461246,26989,8438,31.264589277112897,17446,49.24492618624213,13432,4014,29.883859440142942
24700,Victoria,8872,8290,17162,9.252450319700678,17671,-509,-2.880425555995699,8456,49.271646661228296,8544,-88,-1.0299625468164793
24780,Victoria,3463,3584,7047,12.334161795078238,7352,-305,-4.148531011969532,3456,49.042145593869726,3485,-29,-0.8321377331420373
24850,Victoria,4074,3906,7980,14.229925640614132,6360,1620,25.471698113207548,3867,48.45864661654135,3059,808,26.41386073880353
24900,Victoria,1631,1829,3460,11.292059658627329,3636,-176,-4.84048404840484,1663,48.063583815028906,1796,-133,-7.405345211581292
24970,Victoria,10385,11704,22089,10.589267394701771,21892,197,0.89987209939704,10494,47.50780931685454,10533,-39,-0.370264881800057
25060,Victoria,6659,6843,13502,10.448523494087786,13982,-480,-3.4329852667715635,6691,49.555621389423784,6776,-85,-1.254427390791027
25150,Victoria,2590,2716,5306,13.362210078319775,5050,256,5.069306930693069,2578,48.58650584244252,2408,170,7.059800664451828
25340,Victoria,9028,10177,19205,11.24039401370737,20263,-1058,-5.2213393870601585,9377,48.82582660765426,9881,-504,-5.1006983098876635
25430,Victoria,954,1056,2010,9.70217695612299,2068,-58,-2.804642166344294,986,49.0547263681592,983,3,0.3051881993896236
25490,Victoria,1067,1149,2216,12.543869579984152,2384,-168,-7.046979865771812,1088,49.09747292418773,1180,-92,-7.796610169491526
25620,Victoria,756,802,1558,10.019292604501608,1606,-48,-2.9887920298879203,687,44.094993581514764,739,-52,-7.036535859269283
25710,Victoria,3847,4371,8218,12.936028208034253,8842,-624,-7.057226871748473,4034,49.08736918958384,4335,-301,-6.9434832756632066
25810,Victoria,573,623,1196,10.201296485841011,1216,-20,-1.644736842105263,567,47.408026755852845,576,-9,-1.5625
25900,Victoria,3667,3770,7437,6.62574391504223,8126,-689,-8.478956436130938,3649,49.0654833938416,4037,-388,-9.61109734951697
25990,Victoria,381,436,817,10.307847590209438,790,27,3.4177215189873418,415,50.79559363525091,394,21,5.32994923857868
26080,Victoria,111,110,221,6.73164788303381,219,2,0.91324200913242,130,58.82352941176471,110,20,18.181818181818183
26170,Victoria,1645,1863,3508,11.339173158354074,3698,-190,-5.137912385073013,1637,46.664766248574686,1795,-158,-8.802228412256268
26260,Victoria,929,972,1901,11.556231003039514,1971,-70,-3.5514967021816335,952,50.07890583903208,946,6,0.6342494714587738
26350,Victoria,3848,4139,7987,7.045695130557515,9042,-1055,-11.667772616677727,3894,48.75422561662702,4525,-631,-13.94475138121547
26430,Victoria,551,549,1100,9.405728943993159,1090,10,0.9174311926605505,545,49.54545454545455,530,15,2.8301886792452833
26490,Victoria,2679,2683,5362,13.460862579705779,4668,694,14.867180805484148,2572,47.96717642670645,2210,362,16.380090497737555
26610,Victoria,1201,1347,2548,12.173331422292295,2732,-184,-6.734992679355783,1247,48.9403453689168,1357,-110,-8.106116433308769
26670,Victoria,322,369,691,11.248575614520592,677,14,2.06794682422452,329,47.61215629522431,338,-9,-2.6627218934911245
26700,Victoria,1732,1860,3592,11.958186297356683,3696,-104,-2.813852813852814,1798,50.055679287305125,1806,-8,-0.4429678848283499
